Voltage[V]	Capacitance [F]	Secondary Value	Chuck Temp [C]	Air Temp [C]	Rel. Humidity [%]
1.280000E+1	2.236550E-10	-1.125260E+9	2.000000E+1	2.045000E+1	1.700000E+0
1.300000E+1	2.217210E-10	-9.066860E+8	2.000000E+1	2.041000E+1	1.700000E+0
1.320000E+1	2.202880E-10	-8.127330E+8	2.000000E+1	2.041000E+1	1.680000E+0
1.340000E+1	2.184380E-10	-7.260240E+8	2.000000E+1	2.044000E+1	1.700000E+0
1.360000E+1	2.167730E-10	-7.206090E+8	2.000000E+1	2.044000E+1	1.720000E+0
1.380000E+1	2.149560E-10	-8.096590E+8	2.000000E+1	2.043000E+1	1.680000E+0
1.400000E+1	2.132000E-10	-7.941900E+8	2.000000E+1	2.044000E+1	1.700000E+0
1.420000E+1	2.115180E-10	-8.681320E+8	2.000000E+1	2.041000E+1	1.720000E+0
1.440000E+1	2.098200E-10	-6.753430E+8	2.000000E+1	2.043000E+1	1.780000E+0
1.460000E+1	2.083570E-10	-6.433260E+8	2.000000E+1	2.041000E+1	1.680000E+0
1.480000E+1	2.065900E-10	-5.907190E+8	2.000000E+1	2.044000E+1	1.680000E+0
1.500000E+1	2.049420E-10	-7.536980E+8	2.000000E+1	2.043000E+1	1.680000E+0
1.520000E+1	2.034180E-10	-9.145900E+8	2.000000E+1	2.043000E+1	1.640000E+0
1.540000E+1	2.017860E-10	-7.182600E+8	2.000000E+1	2.044000E+1	1.680000E+0
1.560000E+1	2.002350E-10	-6.907950E+8	2.000000E+1	2.044000E+1	1.700000E+0
1.580000E+1	1.985230E-10	-5.688690E+8	2.000000E+1	2.043000E+1	1.660000E+0
1.600000E+1	1.968770E-10	-5.753120E+8	2.000000E+1	2.045000E+1	1.680000E+0
1.620000E+1	1.953070E-10	-7.702010E+8	2.000000E+1	2.043000E+1	1.680000E+0
1.640000E+1	1.938330E-10	-8.762280E+8	2.000000E+1	2.044000E+1	1.660000E+0
1.660000E+1	1.920710E-10	-7.069190E+8	2.000000E+1	2.044000E+1	1.700000E+0
1.680000E+1	1.905350E-10	-6.525470E+8	2.000000E+1	2.043000E+1	1.720000E+0
1.700000E+1	1.889120E-10	-5.423680E+8	2.000000E+1	2.045000E+1	1.700000E+0
1.720000E+1	1.872310E-10	-5.387460E+8	2.000000E+1	2.041000E+1	1.700000E+0
1.740000E+1	1.855920E-10	-6.046830E+8	2.000000E+1	2.043000E+1	1.620000E+0
1.760000E+1	1.840340E-10	-6.764820E+8	2.000000E+1	2.044000E+1	1.740000E+0
1.780000E+1	1.825750E-10	-7.615500E+8	2.000000E+1	2.045000E+1	1.680000E+0
