 #  step,  time,  energy,  kin_ener,  pot_ener
  0  0.0000000000000000  0.10940509810782527  0.20520938928240029  -9.5804291174575021E-002
  1    0.99999996527084545  0.10940510851505332  0.20520880643741940  -9.5803697922366080E-002
  2  1.9999999305416909  0.10940512067621774  0.20520836173283941  -9.5803241056621663E-002
  3  2.9999998958125365  0.10940513604819220  0.20520805308672885  -9.5802917038536647E-002
  4  3.9999998610833818  0.10940515463065013  0.20520788031840123  -9.5802725687751097E-002
  5  4.9999998263542276  0.10940517642321664  0.20520784323778687  -9.5802666814570239E-002
  6  5.9999997916250729  0.10940520142547309  0.20520794164551781  -9.5802740220044716E-002
  7  6.9999997568959191  0.10940522963695400  0.20520817533300420  -9.5802945696050204E-002
  8  7.9999997221667636  0.10940526105714769  0.20520854408251618  -9.5803283025368488E-002
  9  8.9999996874376080  0.10940529568549749  0.20520904766726333  -9.5803751981765842E-002
  10  9.9999996527084551  0.10940533352139997  0.20520968585147495  -9.5804352330074977E-002
  11  10.999999617979300  0.10940537456420653  0.20521045839048016  -9.5805083826273632E-002
  12  11.999999583250146  0.10940541881322277  0.20521136503078796  -9.5805946217565191E-002
  13  12.999999548520991  0.10940546626770740  0.20521240551016634  -9.5806939242458936E-002
  14  13.999999513791838  0.10940551692687388  0.20521357955772168  -9.5808062630847804E-002
  15  14.999999479062684  0.10940557078988999  0.20521488689397843  -9.5809316104088438E-002
  16  15.999999444333527  0.10940562785587739  0.20521632723095731  -9.5810699375079925E-002
  17  16.999999409604374  0.10940568812391163  0.20521790027225295  -9.5812212148341319E-002
  18  17.999999374875216  0.10940575159302290  0.20521960571311279  -9.5813854120089886E-002
  19  18.999999340146065  0.10940581826219462  0.20522144324051278  -9.5815624978318165E-002
  20  19.999999305416910  0.10940588813036600  0.20522341253323581  -9.5817524402869808E-002
  21  20.999999270687756  0.10940596119642836  0.20522551326194560  -9.5819552065517247E-002
  22  21.999999235958601  0.10940603745922925  0.20522774508926375  -9.5821707630034503E-002
  23  22.999999201229446  0.10940611691756812  0.20523010766984257  -9.5823990752274449E-002
  24  23.999999166500292  0.10940619957020065  0.20523260065044058  -9.5826401080239931E-002
  25  24.999999131771141  0.10940628541583504  0.20523522366999447  -9.5828938254159432E-002
  26  25.999999097041982  0.10940637445313574  0.20523797635969204  -9.5831601906556305E-002
  27  26.999999062312828  0.10940646668071966  0.20524085834304281  -9.5834391662323160E-002
  28  27.999999027583677  0.10940656209715834  0.20524386923594862  -9.5837307138790281E-002
  29  28.999998992854518  0.10940666070097743  0.20524700864677342  -9.5840347945795989E-002
  30  29.999998958125367  0.10940676249065799  0.20525027617641328  -9.5843513685755291E-002
  31  30.999998923396209  0.10940686746463402  0.20525367141836098  -9.5846803953726967E-002
  32  31.999998888667054  0.10940697562129428  0.20525719395877642  -9.5850218337482140E-002
  33  32.999998853937903  0.10940708695898253  0.20526084337655015  -9.5853756417567618E-002
  34  33.999998819208749  0.10940720147599603  0.20526461924336864  -9.5857417767372610E-002
  35  34.999998784479594  0.10940731917058680  0.20526852112377844  -9.5861201953191644E-002
  36  35.999998749750432  0.10940744004096084  0.20527254857524910  -9.5865108534288257E-002
  37  36.999998715021285  0.10940756408527912  0.20527670114823515  -9.5869137062956036E-002
  38  37.999998680292130  0.10940769002151328  0.20528098109431672  -9.5873291072803443E-002
  39  38.999998645562975  0.10940782040843859  0.20528538795918080  -9.5877567550742213E-002
  40  39.999998610833821  0.10940795396393531  0.20528991856707859  -9.5881964603143285E-002
  41  40.999998576104666  0.10940809068598097  0.20529457244101054  -9.5886481755029576E-002
  42  41.999998541375511  0.10940823057250938  0.20529934909725678  -9.5891118524747396E-002
  43  42.999998506646357  0.10940837362140750  0.20530424804542993  -9.5895874424022434E-002
  44  43.999998471917202  0.10940851983051868  0.20530926878853392  -9.5900748958015244E-002
  45  44.999998437188047  0.10940866919763939  0.20531441082301480  -9.5905741625375407E-002
  46  45.999998402458893  0.10940882053236070  0.20531967496763670  -9.5910854435276000E-002
  47  46.999998367729738  0.10940897620869540  0.20532506072547974  -9.5916084516784336E-002
  48  47.999998333000583  0.10940913503615854  0.20533056625075036  -9.5921431214591818E-002
  49  48.999998298271429  0.10940929701236707  0.20533619101394104  -9.5926894001573976E-002
